기준일,기준시간,지점_ID,차량방향유형,차량수량,확정_YN
20240501,03,GM00000012,1,445,Y
20240501,03,GM00000012,2,269,Y
20240501,03,GM00000014,1,4,Y
20240501,03,GM00000014,2,7,Y
20240501,03,GM00000015,1,215,Y
20240501,03,GM00000015,2,416,Y
20240501,03,GM00000016,1,6,Y
20240501,03,GM00000016,2,6,Y
20240501,03,GM00000017,1,191,Y
20240501,03,GM00000017,2,162,Y
20240501,03,GM00000019,1,198,Y
20240501,03,GM00000019,2,163,Y
20240501,03,GM00000020,1,310,Y
20240501,03,GM00000020,2,632,Y
20240501,03,GM00000021,1,77,Y
20240501,03,GM00000021,2,89,Y
20240501,03,GM00000022,1,95,Y
20240501,03,GM00000022,2,150,Y
20240501,03,GM00000023,1,248,Y
20240501,03,GM00000023,2,255,Y
20240501,03,GM00000026,1,2,Y
20240501,03,GM00000026,2,1,Y
20240501,03,GM00000027,2,2,Y
20240501,03,GM00000028,1,21,Y
20240501,03,GM00000028,2,20,Y
20240501,03,GM00000030,2,4,Y
20240501,03,GM00000031,1,299,Y
20240501,03,GM00000031,2,158,Y
20240501,03,GM00000032,1,357,Y
20240501,03,GM00000032,2,270,Y
20240501,03,GM00000033,1,160,Y
20240501,03,GM00000033,2,61,Y
20240501,03,GM00000034,1,69,Y
20240501,03,GM00000035,1,331,Y
20240501,03,GM00000035,2,271,Y
20240501,03,GM00000036,1,243,Y
20240501,03,GM00000036,2,264,Y
20240501,03,GM00000037,1,3,Y
20240501,03,GM00000038,1,432,Y
20240501,03,GM00000038,2,522,Y
20240501,03,GM00000039,1,1,Y
20240501,03,GM00000039,2,7,Y
20240501,03,GM00000040,2,1,Y
20240501,03,GM00000043,1,11,Y
20240501,03,GM00000043,2,13,Y
20240501,03,GM00000044,2,1,Y
20240501,03,GM00000045,1,8,Y
20240501,03,GM00000045,2,25,Y
20240501,04,GM00000001,1,28,Y
20240501,04,GM00000001,2,17,Y
20240501,04,GM00000002,1,113,Y
20240501,04,GM00000002,2,70,Y
20240501,04,GM00000003,1,6,Y
20240501,04,GM00000003,2,3,Y
20240501,04,GM00000004,1,1,Y
20240501,04,GM00000005,1,2,Y
20240501,04,GM00000005,2,2,Y
20240501,04,GM00000006,1,2,Y
20240501,04,GM00000007,1,304,Y
20240501,04,GM00000007,2,358,Y
20240501,04,GM00000008,1,7,Y
20240501,04,GM00000008,2,2,Y
20240501,04,GM00000009,1,7,Y
20240501,04,GM00000010,1,295,Y
20240501,04,GM00000010,2,290,Y
20240501,04,GM00000011,1,14,Y
20240501,04,GM00000011,2,13,Y
20240501,04,GM00000012,1,378,Y
20240501,04,GM00000012,2,243,Y
20240501,04,GM00000014,1,6,Y
20240501,04,GM00000014,2,3,Y
20240501,04,GM00000015,1,235,Y
20240501,04,GM00000015,2,454,Y
20240501,04,GM00000016,1,17,Y
20240501,04,GM00000016,2,7,Y
20240501,04,GM00000017,1,227,Y
20240501,04,GM00000017,2,104,Y
20240501,04,GM00000019,1,176,Y
20240501,04,GM00000019,2,133,Y
20240501,04,GM00000020,1,287,Y
20240501,04,GM00000020,2,573,Y
20240501,04,GM00000021,1,66,Y
20240501,04,GM00000021,2,146,Y
20240501,04,GM00000022,1,99,Y
20240501,04,GM00000022,2,146,Y
20240501,04,GM00000023,1,238,Y
20240501,04,GM00000023,2,222,Y
20240501,04,GM00000024,1,4,Y
20240501,04,GM00000024,2,1,Y
20240501,04,GM00000025,1,1,Y
20240501,04,GM00000026,2,1,Y
20240501,04,GM00000027,2,1,Y
20240501,04,GM00000028,1,17,Y
20240501,04,GM00000028,2,16,Y
20240501,04,GM00000030,1,2,Y
20240501,04,GM00000031,1,301,Y
20240501,04,GM00000031,2,150,Y
20240501,04,GM00000032,1,329,Y
20240501,04,GM00000032,2,239,Y
20240501,04,GM00000033,1,184,Y
20240501,04,GM00000033,2,81,Y
20240501,04,GM00000034,1,73,Y
20240501,04,GM00000035,1,337,Y
20240501,04,GM00000035,2,263,Y
20240501,04,GM00000036,1,272,Y
20240501,04,GM00000036,2,273,Y
20240501,04,GM00000037,1,2,Y
20240501,04,GM00000038,1,469,Y
20240501,04,GM00000038,2,373,Y
20240501,04,GM00000039,1,4,Y
20240501,04,GM00000039,2,3,Y
20240501,04,GM00000040,2,1,Y
20240501,04,GM00000043,1,12,Y
20240501,04,GM00000043,2,8,Y
20240501,04,GM00000044,1,3,Y
20240501,04,GM00000044,2,1,Y
20240501,04,GM00000045,1,30,Y
20240501,04,GM00000045,2,10,Y
20240501,05,GM00000001,1,69,Y
